Compound,Confidence,Score,Mass Score,Iso. Pat.Score,Fragment Score,Num Frag Matches,Name,Formula,Lipid Class,Sum Composition,Chains,Mass,Mass delta ppm,Adduct
512.5041@16.25,"4","98.97","99.78","98.16","81.68","3","Cer(d18:0/14:0)","C32H65NO3","N-acylsphinganines (dihydroceramides)","32:0","18:0/14:0","511.4964","0.8","[M+H]+"
751.5720@16.27,"3","73.59","99.83","0.00","72.11","4","SM(d16:1/20:1)","C41H81N2O6P","Ceramide phosphocholines (sphingomyelins)","36:2","-","728.5832","0.5","[M+Na]+"
717.5906@16.27,"3","78.22","100.00","97.24","67.09","2","SM(d18:1/17:0)","C40H81N2O6P","Ceramide phosphocholines (sphingomyelins)","35:1","-","716.5832","0.1","[M+H]+"
725.5570@16.28,"3","73.58","99.94","0.00","71.77","4","SM(d16:1/18:0)","C39H79N2O6P","Ceramide phosphocholines (sphingomyelins)","34:1","-","702.5676","0.3","[M+Na]+"
703.5747@16.40,"3","77.92","99.97","91.49","66.88","2","SM(d16:1/18:0)","C39H79N2O6P","Ceramide phosphocholines (sphingomyelins)","34:1","-","702.5676","0.2","[M+H]+"
705.5907@16.47,"3","78.32","99.96","99.51","66.97","2","SM(d18:0/16:0)","C39H81N2O6P","Ceramide phosphocholines (sphingomyelins)","34:0","-","704.5832","0.3","[M+H]+"
524.5040@16.49,"3","78.45","99.88","97.02","72.20","3","Cer(d16:1/17:0)","C33H65NO3","N-acylsphingosines (ceramides)","33:1","16:1/17:0","523.4964","0.6","[M+H]+"
727.5730@16.49,"3","78.64","99.68","98.38","75.04","5","SM(d18:0/16:0)","C39H81N2O6P","Ceramide phosphocholines (sphingomyelins)","34:0","-","704.5832","0.8","[M+Na]+"
556.5302@16.53,"3","73.05","99.89","0.00","61.13","3","Cer(d18:0/16:0(2OH))","C34H69NO4","N-acylsphinganines (dihydroceramides)","34:0","18:0/16:0","555.5227","0.5","[M+H]+"
,"3","72.96","99.89","0.00","59.39","1","Cer(t18:0/16:0)","C34H69NO4","N-acyl-4-hydroxysphinganines (phytoceramides)","34:0","-","555.5227","0.5","[M+H]+"
538.5198@16.60,"4","94.13","99.80","0.00","82.94","3","Cer(d18:1/16:0)","C34H67NO3","N-acylsphingosines (ceramides)","34:1","18:1/16:0","537.5121","0.8","[M+H]+"
739.5724@16.69,"3","78.42","100.00","90.76","77.70","6","SM(d19:1/16:0)","C40H81N2O6P","Ceramide phosphocholines (sphingomyelins)","35:1","19:1/16:0","716.5832","0.1","[M+Na]+"
717.5899@16.69,"3","78.24","99.64","99.11","66.48","2","SM(d18:1/17:0)","C40H81N2O6P","Ceramide phosphocholines (sphingomyelins)","35:1","-","716.5832","0.8","[M+H]+"
522.5249@16.87,"4","98.93","99.78","99.27","79.80","2","Cer(m18:1(4E)/16:0)","C34H67NO2","Other Sphingolipids","34:1","18:1/16:0","521.5172","0.8","[M+H]+"
538.5199@16.94,"4","99.80","99.71","99.86","96.63","4","Cer(d18:1/16:0)","C34H67NO3","N-acylsphingosines (ceramides)","34:1","18:1/16:0","537.5121","0.9","[M+H]+"
526.5198@16.97,"3","72.91","99.73","0.00","58.73","1","Cer(d18:0/15:0)","C33H67NO3","N-acylsphingosines (ceramides)","33:0","-","525.5121","0.9","[M+H]+"
522.5247@17.12,"4","98.78","99.93","94.95","80.89","2","Cer(m18:1(4E)/16:0)","C34H67NO2","Other Sphingolipids","34:1","18:1/16:0","521.5172","0.5","[M+H]+"
731.6064@17.14,"3","78.32","99.92","99.59","67.01","2","SM(d16:1/20:0)","C41H83N2O6P","Ceramide phosphocholines (sphingomyelins)","36:1","-","730.5989","0.4","[M+H]+"
538.5199@17.21,"4","99.76","99.69","100.00","95.89","4","Cer(d18:1/16:0)","C34H67NO3","N-acylsphingosines (ceramides)","34:1","18:1/16:0","537.5121","0.9","[M+H]+"
719.6060@17.25,"3","77.83","99.96","95.72","60.94","1","SM(d18:0/17:0)","C40H83N2O6P","Ceramide phosphocholines (sphingomyelins)","35:0","-","718.5989","0.3","[M+H]+"
564.5347@17.37,"3","78.47","99.89","91.17","78.36","4","Cer(d18:1/18:1(9Z))","C36H69NO3","N-acylsphingosines (ceramides)","36:2","18:1/18:1","563.5277","0.5","[M+H]+"
753.5896@17.39,"3","78.68","97.71","98.65","79.58","7","SM(d18:1/18:0)","C41H83N2O6P","Ceramide phosphocholines (sphingomyelins)","36:1","18:1/18:0","730.5989","2.0","[M+Na]+"
731.6062@17.42,"3","78.36","99.99","99.93","67.23","2","SM(d16:1/20:0)","C41H83N2O6P","Ceramide phosphocholines (sphingomyelins)","36:1","-","730.5989","0.1","[M+H]+"
757.6222@17.58,"3","78.33","99.83","99.95","67.05","2","SM(d16:1/22:1)","C43H85N2O6P","Ceramide phosphocholines (sphingomyelins)","38:2","-","756.6145","0.5","[M+H]+"
779.6042@17.59,"3","78.60","99.82","98.02","74.26","5","SM(d16:1/22:1)","C43H85N2O6P","Ceramide phosphocholines (sphingomyelins)","38:2","-","756.6145","0.5","[M+Na]+"
540.5355@17.69,"4","99.40","99.74","99.67","88.76","5","Cer(d18:0/16:0)","C34H69NO3","N-acylsphinganines (dihydroceramides)","34:0","18:0/16:0","539.5277","0.9","[M+H]+"
805.6217@17.70,"3","72.90","94.86","0.00","68.30","4","SM(d18:2/22:1)","C45H87N2O6P","Ceramide phosphocholines (sphingomyelins)","40:3","-","782.6302","2.8","[M+Na]+"
757.6223@17.71,"3","73.31","99.68","0.00","66.77","2","SM(d16:1/22:1)","C43H85N2O6P","Ceramide phosphocholines (sphingomyelins)","38:2","-","756.6145","0.7","[M+H]+"
728.6033@17.72,"3","72.36","49.65","93.32","54.64","1","CerP(d18:1/24:1(15Z))","C42H82NO6P","Ceramide 1-phosphates","42:2","-","727.5880","11.1","[M+H]+"
745.6225@17.78,"3","78.03","99.43","96.19","65.60","2","SM(d18:1/19:0)","C42H85N2O6P","Ceramide phosphocholines (sphingomyelins)","37:1","-","744.6145","1.0","[M+H]+"
524.5406@17.88,"4","97.95","99.74","78.07","81.40","2","Cer(m18:0/16:0)","C34H69NO2","Other Sphingolipids","34:0","18:0/16:0","523.5328","0.9","[M+H]+"
540.5356@17.92,"4","99.08","99.62","99.82","82.44","4","Cer(d18:0/16:0)","C34H69NO3","N-acylsphinganines (dihydroceramides)","34:0","18:0/16:0","539.5277","1.0","[M+H]+"
552.5356@17.92,"3","78.29","99.52","98.05","68.76","4","Cer(d18:1/17:0)","C35H69NO3","N-acylsphingosines (ceramides)","35:1","18:1/17:0","551.5277","1.1","[M+H]+"
771.6379@17.92,"3","78.15","99.78","98.04","65.38","2","SM(d18:2/21:0)","C44H87N2O6P","Ceramide phosphocholines (sphingomyelins)","39:2","-","770.6302","0.6","[M+H]+"
755.6047@17.96,"3","78.51","99.07","99.65","72.49","5","SM(d16:0/20:0)","C41H85N2O6P","Ceramide phosphocholines (sphingomyelins)","36:0","-","732.6145","1.2","[M+Na]+"
733.6224@17.96,"3","78.32","99.66","99.89","67.14","2","SM(d16:0/20:0)","C41H85N2O6P","Ceramide phosphocholines (sphingomyelins)","36:0","-","732.6145","0.8","[M+H]+"
524.5407@18.13,"4","98.91","99.61","99.92","79.10","2","Cer(m18:0/16:0)","C34H69NO2","Other Sphingolipids","34:0","18:0/16:0","523.5328","1.1","[M+H]+"
550.5563@18.22,"4","99.01","99.69","99.93","80.85","2","Cer(m18:1(4E)/18:0)","C36H71NO2","Other Sphingolipids","36:1","18:1/18:0","549.5485","0.9","[M+H]+"
550.5538@18.42,"4","98.14","95.44","93.54","78.28","2","Cer(m18:1(4E)/18:0)","C36H71NO2","Other Sphingolipids","36:1","18:1/18:0","549.5485","3.5","[M+H]+"
785.6536@18.56,"3","78.30","99.70","99.30","67.21","2","SM(d16:1/24:1)","C45H89N2O6P","Ceramide phosphocholines (sphingomyelins)","40:2","-","784.6458","0.7","[M+H]+"
807.6373@18.58,"3","77.34","95.04","82.02","74.67","5","SM(d16:1/24:1)","C45H89N2O6P","Ceramide phosphocholines (sphingomyelins)","40:2","-","784.6458","2.8","[M+Na]+"
566.5513@18.59,"4","99.45","99.53","98.20","91.75","4","Cer(d18:1/18:0)","C36H71NO3","N-acylsphingosines (ceramides)","36:1","18:1/18:0","565.5434","1.1","[M+H]+"
833.6509@18.66,"3","78.63","99.95","98.05","74.56","5","SM(d18:2/24:1)","C47H91N2O6P","Ceramide phosphocholines (sphingomyelins)","42:3","-","810.6615","0.3","[M+Na]+"
811.6691@18.66,"3","78.29","99.91","99.51","66.57","2","SM(d18:2/24:1)","C47H91N2O6P","Ceramide phosphocholines (sphingomyelins)","42:3","-","810.6615","0.4","[M+H]+"
592.5657@18.70,"4","99.77","99.48","99.83","96.59","5","Cer(d18:2/20:0)","C38H73NO3","N-acylsphingosines (ceramides)","38:2","18:2/20:0","591.5590","1.1","[M+H]+"
